GO.ID	Term	Annotated	Significant	Expected	Fisher	fdr
GO:0016052	carbohydrate catabolic process	10	1	0.03	0.045	1
GO:0005976	polysaccharide metabolic process	17	1	0.05	0.060	1
GO:0000272	polysaccharide catabolic process	10	1	0.03	0.078	1
GO:0008152	metabolic process	2074	9	6.43	0.079	1
GO:0043170	macromolecule metabolic process	751	3	2.33	0.214	1
GO:0005975	carbohydrate metabolic process	103	1	0.32	0.225	1
GO:1901575	organic substance catabolic process	128	1	0.4	0.273	1
GO:0009057	macromolecule catabolic process	121	1	0.38	0.407	1
GO:0034660	ncRNA metabolic process	138	1	0.43	0.409	1
GO:0009056	catabolic process	141	1	0.44	0.470	1
GO:0006725	cellular aromatic compound metabolic pro...	451	1	1.4	0.476	1
GO:0046483	heterocycle metabolic process	458	1	1.42	0.484	1
GO:0006396	RNA processing	200	1	0.62	0.560	1
GO:0006508	proteolysis	185	1	0.57	0.576	1
GO:0019538	protein metabolic process	321	1	1	0.602	1
GO:0034641	cellular nitrogen compound metabolic pro...	464	1	1.44	0.683	1
GO:0034470	ncRNA processing	138	1	0.43	0.690	1
GO:1901564	organonitrogen compound metabolic proces...	414	1	1.28	0.696	1
GO:0006139	nucleobase-containing compound metabolic...	432	1	1.34	0.739	1
GO:1901360	organic cyclic compound metabolic proces...	462	1	1.43	0.748	1
GO:0009058	biosynthetic process	339	1	1.05	0.800	1
GO:0010467	gene expression	328	1	1.02	0.822	1
GO:0016070	RNA metabolic process	337	1	1.04	0.851	1
GO:0090304	nucleic acid metabolic process	396	1	1.23	0.878	1
GO:0008033	tRNA processing	126	1	0.39	0.913	1
GO:0006399	tRNA metabolic process	126	1	0.39	0.913	1
GO:0006807	nitrogen compound metabolic process	831	2	2.58	0.930	1
GO:0044238	primary metabolic process	1180	3	3.66	0.961	1
GO:0071704	organic substance metabolic process	1255	3	3.89	0.977	1
GO:0009987	cellular process	1531	2	4.75	0.984	1
GO:0044237	cellular metabolic process	947	1	2.94	0.988	1
GO:0008150	biological_process	3225	10	10	1.000	1
GO:0000003	reproduction	13	0	0.04	1.000	1
GO:0000041	transition metal ion transport	3	0	0.01	1.000	1
GO:0000045	autophagosome assembly	7	0	0.02	1.000	1
GO:0000070	mitotic sister chromatid segregation	5	0	0.02	1.000	1
GO:0000075	cell cycle checkpoint signaling	7	0	0.02	1.000	1
GO:0000079	regulation of cyclin-dependent protein s...	8	0	0.02	1.000	1
GO:0000103	sulfate assimilation	6	0	0.02	1.000	1
GO:0000105	histidine biosynthetic process	7	0	0.02	1.000	1
GO:0000154	rRNA modification	3	0	0.01	1.000	1
GO:0000160	phosphorelay signal transduction system	55	0	0.17	1.000	1
GO:0000162	tryptophan biosynthetic process	7	0	0.02	1.000	1
GO:0000184	nuclear-transcribed mRNA catabolic proce...	4	0	0.01	1.000	1
GO:0000226	microtubule cytoskeleton organization	27	0	0.08	1.000	1
GO:0000244	spliceosomal tri-snRNP complex assembly	3	0	0.01	1.000	1
GO:0000266	mitochondrial fission	3	0	0.01	1.000	1
GO:0000271	polysaccharide biosynthetic process	7	0	0.02	1.000	1
GO:0000278	mitotic cell cycle	5	0	0.02	1.000	1
GO:0000280	nuclear division	5	0	0.02	1.000	1
GO:0000375	RNA splicing, via transesterification re...	40	0	0.12	1.000	1
GO:0000377	RNA splicing, via transesterification re...	40	0	0.12	1.000	1
GO:0000387	spliceosomal snRNP assembly	7	0	0.02	1.000	1
GO:0000398	mRNA splicing, via spliceosome	40	0	0.12	1.000	1
GO:0000413	protein peptidyl-prolyl isomerization	26	0	0.08	1.000	1
GO:0000723	telomere maintenance	6	0	0.02	1.000	1
GO:0000724	double-strand break repair via homologou...	4	0	0.01	1.000	1
GO:0000725	recombinational repair	4	0	0.01	1.000	1
GO:0000737	DNA catabolic process, endonucleolytic	3	0	0.01	1.000	1
GO:0000819	sister chromatid segregation	5	0	0.02	1.000	1
GO:0000910	cytokinesis	6	0	0.02	1.000	1
GO:0000917	division septum assembly	6	0	0.02	1.000	1
GO:0000956	nuclear-transcribed mRNA catabolic proce...	7	0	0.02	1.000	1
GO:0001101	response to acid chemical	6	0	0.02	1.000	1
GO:0001510	RNA methylation	8	0	0.02	1.000	1
GO:0001522	pseudouridine synthesis	22	0	0.07	1.000	1
GO:0001678	cellular glucose homeostasis	6	0	0.02	1.000	1
GO:0001932	regulation of protein phosphorylation	8	0	0.02	1.000	1
GO:0002376	immune system process	3	0	0.01	1.000	1
GO:0003333	amino acid transmembrane transport	38	0	0.12	1.000	1
GO:0005977	glycogen metabolic process	5	0	0.02	1.000	1
GO:0005978	glycogen biosynthetic process	5	0	0.02	1.000	1
GO:0005984	disaccharide metabolic process	11	0	0.03	1.000	1
GO:0005985	sucrose metabolic process	11	0	0.03	1.000	1
GO:0005996	monosaccharide metabolic process	9	0	0.03	1.000	1
GO:0006006	glucose metabolic process	7	0	0.02	1.000	1
GO:0006066	alcohol metabolic process	4	0	0.01	1.000	1
GO:0006073	cellular glucan metabolic process	5	0	0.02	1.000	1
GO:0006082	organic acid metabolic process	100	0	0.31	1.000	1
GO:0006091	generation of precursor metabolites and ...	60	0	0.19	1.000	1
GO:0006099	tricarboxylic acid cycle	10	0	0.03	1.000	1
GO:0006112	energy reserve metabolic process	5	0	0.02	1.000	1
GO:0006163	purine nucleotide metabolic process	22	0	0.07	1.000	1
GO:0006164	purine nucleotide biosynthetic process	16	0	0.05	1.000	1
GO:0006259	DNA metabolic process	59	0	0.18	1.000	1
GO:0006281	DNA repair	40	0	0.12	1.000	1
GO:0006284	base-excision repair	12	0	0.04	1.000	1
GO:0006298	mismatch repair	5	0	0.02	1.000	1
GO:0006302	double-strand break repair	4	0	0.01	1.000	1
GO:0006304	DNA modification	4	0	0.01	1.000	1
GO:0006305	DNA alkylation	4	0	0.01	1.000	1
GO:0006306	DNA methylation	4	0	0.01	1.000	1
GO:0006308	DNA catabolic process	4	0	0.01	1.000	1
GO:0006310	DNA recombination	4	0	0.01	1.000	1
GO:0006325	chromatin organization	3	0	0.01	1.000	1
GO:0006338	chromatin remodeling	3	0	0.01	1.000	1
GO:0006351	transcription, DNA-templated	86	0	0.27	1.000	1
GO:0006352	DNA-templated transcription, initiation	8	0	0.02	1.000	1
GO:0006353	DNA-templated transcription, termination	3	0	0.01	1.000	1
GO:0006354	DNA-templated transcription, elongation	3	0	0.01	1.000	1
GO:0006355	regulation of transcription, DNA-templat...	51	0	0.16	1.000	1
GO:0006357	regulation of transcription by RNA polym...	3	0	0.01	1.000	1
GO:0006359	regulation of transcription by RNA polym...	3	0	0.01	1.000	1
GO:0006364	rRNA processing	11	0	0.03	1.000	1
GO:0006366	transcription by RNA polymerase II	10	0	0.03	1.000	1
GO:0006368	transcription elongation from RNA polyme...	3	0	0.01	1.000	1
