GO.ID	Term	Annotated	Significant	Expected	Fisher	fdr
GO:0016020	membrane	751	1	0.49	0.50	1
GO:0110165	cellular anatomical entity	1501	1	0.97	0.97	1
GO:0005575	cellular_component	1543	1	1	1.00	1
GO:0000015	phosphopyruvate hydratase complex	5	0	0	1.00	1
GO:0000123	histone acetyltransferase complex	10	0	0.01	1.00	1
GO:0000126	transcription factor TFIIIB complex	3	0	0	1.00	1
GO:0000139	Golgi membrane	11	0	0.01	1.00	1
GO:0000145	exocyst	32	0	0.02	1.00	1
GO:0000148	1,3-beta-D-glucan synthase complex	11	0	0.01	1.00	1
GO:0000151	ubiquitin ligase complex	4	0	0	1.00	1
GO:0000159	protein phosphatase type 2A complex	16	0	0.01	1.00	1
GO:0000178	exosome (RNase complex)	5	0	0	1.00	1
GO:0000220	vacuolar proton-transporting V-type ATPa...	4	0	0	1.00	1
GO:0000228	nuclear chromosome	12	0	0.01	1.00	1
GO:0000275	mitochondrial proton-transporting ATP sy...	5	0	0	1.00	1
GO:0000276	mitochondrial proton-transporting ATP sy...	5	0	0	1.00	1
GO:0000428	DNA-directed RNA polymerase complex	13	0	0.01	1.00	1
GO:0000439	transcription factor TFIIH core complex	4	0	0	1.00	1
GO:0000502	proteasome complex	5	0	0	1.00	1
GO:0000775	chromosome, centromeric region	9	0	0.01	1.00	1
GO:0000785	chromatin	103	0	0.07	1.00	1
GO:0000786	nucleosome	97	0	0.06	1.00	1
GO:0000796	condensin complex	3	0	0	1.00	1
GO:0000808	origin recognition complex	3	0	0	1.00	1
GO:0000930	gamma-tubulin complex	10	0	0.01	1.00	1
GO:0005576	extracellular region	57	0	0.04	1.00	1
GO:0005615	extracellular space	9	0	0.01	1.00	1
GO:0005618	cell wall	38	0	0.02	1.00	1
GO:0005622	intracellular anatomical structure	808	0	0.52	1.00	1
GO:0005634	nucleus	241	0	0.16	1.00	1
GO:0005635	nuclear envelope	22	0	0.01	1.00	1
GO:0005643	nuclear pore	20	0	0.01	1.00	1
GO:0005654	nucleoplasm	23	0	0.01	1.00	1
GO:0005667	transcription regulator complex	20	0	0.01	1.00	1
GO:0005669	transcription factor TFIID complex	8	0	0.01	1.00	1
GO:0005674	transcription factor TFIIF complex	3	0	0	1.00	1
GO:0005694	chromosome	125	0	0.08	1.00	1
GO:0005730	nucleolus	5	0	0	1.00	1
GO:0005737	cytoplasm	308	0	0.2	1.00	1
GO:0005739	mitochondrion	62	0	0.04	1.00	1
GO:0005740	mitochondrial envelope	53	0	0.03	1.00	1
GO:0005741	mitochondrial outer membrane	19	0	0.01	1.00	1
GO:0005742	mitochondrial outer membrane translocase...	4	0	0	1.00	1
GO:0005743	mitochondrial inner membrane	33	0	0.02	1.00	1
GO:0005744	TIM23 mitochondrial import inner membran...	8	0	0.01	1.00	1
GO:0005746	mitochondrial respirasome	3	0	0	1.00	1
GO:0005753	mitochondrial proton-transporting ATP sy...	10	0	0.01	1.00	1
GO:0005759	mitochondrial matrix	6	0	0	1.00	1
GO:0005773	vacuole	7	0	0	1.00	1
GO:0005774	vacuolar membrane	6	0	0	1.00	1
GO:0005777	peroxisome	18	0	0.01	1.00	1
GO:0005778	peroxisomal membrane	8	0	0.01	1.00	1
GO:0005779	integral component of peroxisomal membra...	8	0	0.01	1.00	1
GO:0005783	endoplasmic reticulum	71	0	0.05	1.00	1
GO:0005784	Sec61 translocon complex	4	0	0	1.00	1
GO:0005787	signal peptidase complex	4	0	0	1.00	1
GO:0005789	endoplasmic reticulum membrane	39	0	0.03	1.00	1
GO:0005791	rough endoplasmic reticulum	4	0	0	1.00	1
GO:0005794	Golgi apparatus	20	0	0.01	1.00	1
GO:0005801	cis-Golgi network	3	0	0	1.00	1
GO:0005811	lipid droplet	10	0	0.01	1.00	1
GO:0005815	microtubule organizing center	10	0	0.01	1.00	1
GO:0005819	spindle	8	0	0.01	1.00	1
GO:0005829	cytosol	7	0	0	1.00	1
GO:0005840	ribosome	3	0	0	1.00	1
GO:0005856	cytoskeleton	41	0	0.03	1.00	1
GO:0005875	microtubule associated complex	10	0	0.01	1.00	1
GO:0005885	Arp2/3 protein complex	5	0	0	1.00	1
GO:0005886	plasma membrane	24	0	0.02	1.00	1
GO:0005887	integral component of plasma membrane	3	0	0	1.00	1
GO:0005938	cell cortex	32	0	0.02	1.00	1
GO:0005956	protein kinase CK2 complex	5	0	0	1.00	1
GO:0005960	glycine cleavage complex	3	0	0	1.00	1
GO:0005963	magnesium-dependent protein serine/threo...	16	0	0.01	1.00	1
GO:0008287	protein serine/threonine phosphatase com...	16	0	0.01	1.00	1
GO:0008290	F-actin capping protein complex	4	0	0	1.00	1
GO:0009507	chloroplast	6	0	0	1.00	1
GO:0009521	photosystem	34	0	0.02	1.00	1
GO:0009522	photosystem I	18	0	0.01	1.00	1
GO:0009523	photosystem II	8	0	0.01	1.00	1
GO:0009536	plastid	6	0	0	1.00	1
GO:0009579	thylakoid	35	0	0.02	1.00	1
